berat_buah,jarak,harga_bensin,cuaca,libur,persentase_cuaca,persentase_libur
3.3792082105341064,1.0,14405.406238833402,1,1,0.3,0.3
4.590253041864907,1.0,14861.96392253599,1,1,0.3,0.3
2.1927294622535864,1.0,17417.872599080263,1,1,0.3,0.3
3.9009716320705303,1.0,19564.670149084377,1,1,0.3,0.3
1.761129432419791,1.0,13556.412875646969,1,1,0.3,0.3
1.9904593730319258,1.0,18639.775968016787,1,1,0.3,0.3
3.851211431671516,1.0,18832.68181278624,1,1,0.3,0.3
2.435446053337013,1.0,13487.168098692582,1,1,0.3,0.3
3.7174737852293274,1.0,12285.6601823175,1,1,0.3,0.3
4.376222298219444,1.0,18033.076066651865,1,1,0.3,0.3
2.3350150526620053,1.1,11972.154907544682,1,1,0.3,0.3
1.6112245553001068,1.1,15130.049861499074,1,1,0.3,0.3
4.148742619902039,1.1,16512.13131884281,1,1,0.3,0.3
1.5836756912058196,1.1,13160.95768393671,1,1,0.3,0.3
1.067794045738712,1.1,12303.016453913213,1,1,0.3,0.3
3.094488404843732,1.1,11587.834407452621,1,1,0.3,0.3
4.269463495649478,1.1,18174.999921004342,1,1,0.3,0.3
3.921809183388435,1.1,16157.234561966166,1,1,0.3,0.3
2.1785790699395022,1.1,18192.383964024775,1,1,0.3,0.3
3.010604208437287,1.1,17281.45903399216,1,1,0.3,0.3
2.6985441338300324,1.2,19509.82692700509,1,1,0.3,0.3
1.4707607139860364,1.2,11442.995193920236,1,1,0.3,0.3
3.618959084115099,1.2,19898.61170637735,1,1,0.3,0.3
1.3546791881778528,1.2,10564.285640257316,1,1,0.3,0.3
4.46766117280305,1.2,15353.059461058616,1,1,0.3,0.3
2.716335146737905,1.2,11925.032623935147,1,1,0.3,0.3
4.5758520742278375,1.2,15801.596305744228,1,1,0.3,0.3
3.812433534301099,1.2,10408.951570537609,1,1,0.3,0.3
4.203920097607046,1.2,17007.015993963276,1,1,0.3,0.3
1.8911861794578995,1.2,14518.565047455115,1,1,0.3,0.3
2.4549645819065553,1.3,12896.123619051112,1,1,0.3,0.3
1.338592460193754,1.3,18686.53059400058,1,1,0.3,0.3
4.785018760894264,1.3,15361.630006309748,1,1,0.3,0.3
1.8626366523788196,1.3,18570.164177250652,1,1,0.3,0.3
